headline;analytics
A computação pode ser de borda, mas a segurança deve ser ponto central;1
A IA e as ciências sociais já foram próximas, mas se separaram;1
A Nova Era Dos Negócios: A Importância Dos Dados Na Construção De Marcas;1
A revoluçãoo da Justiça com o Big Data;1
A vez da inteligência artificial na medicina;1
AI for Agriculture;1
Algoritmo de IA descobre rapidamente que a Terra orbita o Sol;1
Amazon entra na corrida da computação quântica oferecendo cálculos pela nuvem;1
Amazon vai ser investigada por uso de dados de vendedores parceiros;1
Bancos criam rede para compartilhar dados e evitar fraudes no Brasil;1
Blockchain: o futuro do armazenamento e gestão de dados;1
Burger King usa chatbot com IA para acelerar processo de recrutamento;1
Cisco traz soluções de ai, machine learning e mais para a feira;1
Huawei apresenta soluções para digitalizar setor bancário;1
Cientistas usam nova arquitetura de IA para evitar rebelião das máquinas;1
Colégio cria curso técnico de inteligência artificial;1
Com AI, setor de serviços corporativos pode criar 26 milhões de empregos até 2030;1
Com cloud e ai, Brasil ganhará primeiro banco de sequenciamento genético;1
Com compra do Tableau, Salesforce quer integrar IA com exposição de dados;1
Como a IA pode ser uma aliada contra às fraudes durante a Black Friday?;1
Como a inteligência artificial já está presente na sua vida;1
Como a Inteligência Artificial pode tornar o trânsito mais seguro?;1
Como empresas têm aplicado Machine Learning para impulsionar negócios;1
Como funciona a Camila, IA humanizada da AWS que converte texto em voz;1
Dados de clientes americanos estavam hospedados em servidor sem senha;1
Dados e inteligência artificial: como um apoia o outro?;1
Especialistas alertam que IA militar pode ser facilmente enganada;1
Este drone usa inteligência artificial para acompanhar os movimentos do seu alvo;1
EUA e Reino Unido agora obrigam empresas de TI a fornecerem dados de suspeitos;1
Facebook testa sistema de reconhecimento facial para verificar identidades;1
Fiat pode fazer parceria com BMW e Daimler para veículos autônomos;1
Fujitsu cria IA para ajudar juízes em Mundial de Ginástica Artística;1
Golpistas estão usando nova técnica para roubar dados de pagamento online;1
Google aposta na inteligência artificial para conquistar os empreendedores;1
Google desenvolve IA capaz de transformar texto em mensagens de áudio;1
Google é acusado de criar ferramenta de espionagem trabalhista;1
Google explica como funciona a IA de recomendações da Play Store;1
Google investe euro 3 bilhões em data centers de energia limpa na Europa;1
Governo brasileiro pode ter criado as bases para uma vigilância igual a da China;1
Governo cria cadastro unificado e regulamenta uso de dados de cidadãos;1
Grupo financiado por Elon Musk libera IA poderosa e assustadora;1
Hackers criptografam o equivalente a 10 anos de dados do governo argentino;1
Huawei Cloud chega ao Brasil com foco em IA e Big Data;1
IA consegue recriar vídeos que você viu com base em suas ondas cerebrais;1
IA contra o câncer;1
IA criada por brasileiros é premiada em desafio internacional;1
IA tenta desvendar os mistérios dos geoglifos impressos no deserto de Nazca;1
Inteligência artificial consegue resolver um Cubo Mágico em pouco mais de 1s;1
Inteligência artificial já é usada em grandes festivais no Brasil;1
Inteligência artificial não é novidade, mas está mais atual do que nunca;1
Inteligência artificial moldará o 6G e as comunicações do futuro;1
Inteligência artificial quer melhorar o ambiente das torcidas de futebol;1
Inteligência artificial: Por que as tecnologias de reconhecimento facial são tão contestadas;1
"LinkedIn come&ccedil;a a usar IA para descri&ccedil;&otilde;es de imagens autom&aacute;ticas no feed";1
Machine Learning cria oportunidades de carreira e negócios - Computerworld;1
"Marca usa intelig&ecirc;ncia artificial e fotografia para criar roupas sob medida";1
Marcos Pontes anuncia criação de 8 laboratórios de IA no Brasil;1
Nova IA da Nvidia promete criar os melhores deepfakes;1
O que os anunciantes realmente precisam saber sobre Deep Learning;1
Santander promove evento gratuito em São Paulo sobre big data para empresas;1
Seu próximo carro poderá estar de olho mais em você do que na estrada;1
Skydio's New Auto-Follow Drone is Basically a Flying A.I. Cinematographer;1
Sony abre divisão focada no desenvolvimento da inteligência artificial;1
Startup cria roupas inteligentes que funcionam como personal trainers;1
Startup de veteranos do Google lança ferramenta grátis de aprendizado de máquina;1
Tainted Data Can Teach Algorithms the Wrong Lessons;1
The Power, and Limits, of Artificial Intelligence;1
Tudo que você precisa saber para trabalhar com Inteligência Artificial - Computerworld;1
USP será o lar do Centro de Pesquisa em IA mais avançado do Brasil;1
Vannevar Labs comes out of stealth to bring best-in-class AI tech to national security agencies;1
Volkswagen inova ao usar a inteligência artificial para facilitar a vida dos motoristas;1
"YouTube lança série sobre IA com Robert Downey Jr.; veja o trailer";1
Data Science for all: What is it? Why care? How do I get it?;1
Recapping the IBM Chief Data Officer Strategy Summit Fall 2017;1
Three “must-have” capabilities to unify data governance;1
Transforming governance in the insights era;1
